Province/State,Country/Region,Lat,Long,4/20/20
Alabama,US,31.868263,-85.3871286,22
Alabama,US,32.99642064,-87.12511459999996,32
Alabama,US,33.98210918,-86.56790593,22
Alabama,US,32.10030533,-85.71265535,11
Alabama,US,31.75300095,-86.68057478,14
Alabama,US,33.77483727,-85.82630386,80
Alabama,US,32.91360079,-85.39072749,257
Alabama,US,34.17805983,-85.60638968,12
Alabama,US,32.85044126,-86.7173256,43
Alabama,US,32.02227341,-88.26564429999998,17
Alabama,US,31.68099859,-87.83548597,24
Alabama,US,33.26984193,-85.85836077,19
Alabama,US,33.67679204,-85.52005899,12
Alabama,US,31.39932826,-85.98901039,64
Alabama,US,34.69847452,-87.80168544,16
Alabama,US,31.43401703,-86.99320044,9
Alabama,US,32.93690146,-86.24847739,23
Alabama,US,31.2477854,-86.45050893,24
Alabama,US,31.72941803,-86.31593104,6
Alabama,US,34.13020303,-86.86888037,44
Alabama,US,31.43037123,-85.61095742,21
Alabama,US,32.32688101,-87.10866709999998,26
Alabama,US,34.45946862,-85.80782906,46
Alabama,US,32.59785413,-86.14415284,69
Alabama,US,31.1256789,-87.15918694,16
Alabama,US,34.04567266,-86.04051873,100
Alabama,US,33.72076938,-87.73886638,3
Alabama,US,34.44235334,-87.84289505,18
Alabama,US,31.09389027,-85.83572839,4
Alabama,US,32.85504247,-87.95684022,32
Alabama,US,32.76039258,-87.63284988,31
Alabama,US,31.51148016,-85.24267944,18
Alabama,US,31.15197924,-85.29939599,70
Alabama,US,34.78144169,-85.99750489,39
Alabama,US,33.55554728,-86.89506300000002,688
Alabama,US,33.77995024,-88.09668032,9
Alabama,US,34.90171875,-87.65624729,24
Alabama,US,34.52041498,-87.31069453,10
Alabama,US,32.60154883,-85.35132246,311
Alabama,US,34.81185586,-86.98310072,40
Alabama,US,32.1597283,-86.65158371,31
Alabama,US,32.38759944,-85.69267724,26
Alabama,US,34.76327133,-86.55069633,202
Alabama,US,32.24767634,-87.78796182,30
Alabama,US,34.13697363,-87.88704173,63
Alabama,US,34.36975964,-86.30486727,167
Alabama,US,30.78472347,-88.20842409,680
Alabama,US,31.56729412,-87.36995001,9
Alabama,US,32.2206831,-86.20969272,231
Alabama,US,34.45500589,-86.85475946,48
Alabama,US,32.64048341,-87.29770589,9
Alabama,US,33.28094866,-88.08818103,40
Alabama,US,31.80396383,-85.9408295,41
Alabama,US,33.29526734,-85.45708831,56
Alabama,US,32.28725256,-85.18415324,48
Alabama,US,33.71902176,-86.31029372,57
Alabama,US,33.26879845,-86.66232561,273
Alabama,US,32.59117397,-88.19916205,40
Alabama,US,33.37823223,-86.16886178,47
Alabama,US,32.86698258,-85.79833053,193
Alabama,US,33.28726072,-87.52556818,153
Alabama,US,33.80270512,-87.30027177,90
Alabama,US,31.4092794,-88.20689944,16
Alabama,US,31.98773215,-87.30891118,49
Alabama,US,34.15030532,-87.37325922,9
Alaska,US,61.14998174,-149.14269860000005,155
Alaska,US,60.90980451,-159.8561831,1
Alaska,US,64.80726247,-146.5692662,79
Alaska,US,58.45031811,-134.200436,24
Alaska,US,60.24429722,-151.53888840000005,19
Alaska,US,55.57445008,-130.975561,15
Alaska,US,57.65529415,-153.7493579,1
