index,Country_Region,0,15,Country_Code,Region,Non-communicable diseases (NCDs) (DALYs lost),Respiratory diseases (DALYs lost),Pop Density (per sqkm),Ages 0-9,Ages 10-19,Ages 20-29,Ages 30-39,Ages 40-49,Ages 50-59,Ages 60-69,Ages 70-79,Ages 80+,Population Total,Health Expenditure (USD),"Hospital beds (per 1,000)"
28,Ireland,1.0,19.0,IRL,Europe & Central Asia,967651.7927720315,62127.81005283959,70.452983016403,0.14374931106489022,0.13196545589218514,0.11425248351449108,0.15020711836085468,0.15127212189953446,0.11941802882659026,0.09700206345723349,0.06190083249115845,0.03023258449306223,4853505.0,4758.59431522,2.8
29,Italy,1.0,233.0,ITA,Europe & Central Asia,14724096.238859044,579468.8280034735,205.45074794315602,0.08595640486546,0.0945688975503334,0.10178790671090314,0.11909652425891655,0.15515993082060062,0.15356924811378742,0.12112699572746137,0.09653390623747286,0.07220018571506463,60431285.0,2738.70612439,3.4
30,Japan,1.0,4.0,JPN,East Asia & Pacific,29209306.66338881,1354109.0148336908,347.07345841562403,0.08291031865396972,0.08974197240002497,0.0974329936749728,0.11829445558373529,0.14880532620559223,0.12554973519925455,0.13249635064186815,0.12064643627434321,0.08412241136623907,126529100.0,4233.0332764,13.4
31,Luxembourg,1.0,21.0,LUX,Europe & Central Asia,129285.49855930939,6944.149658201894,250.09382716049402,0.10657346753744666,0.10997135245692584,0.13735024213015298,0.15466711423310642,0.15333757863265163,0.14283622194688111,0.09635348534137636,0.05876942265574736,0.040141115065711636,607731.0,6271.43758791,4.8
32,Moldova,1.0,6.0,MDA,Europe & Central Asia,1162879.9361477823,33028.19345126358,123.51980353223999,0.107029163954602,0.10365990540017665,0.16009040340857175,0.18253896630572236,0.13169663756625993,0.13528248527024572,0.11291345120144934,0.04377751782066193,0.023011469072310317,3545884.0,171.19013187,5.8
33,Morocco,1.0,6.0,MAR,Middle East & North Africa,7846073.9472154975,353662.7556061998,80.72851893345279,0.18719767175086696,0.16638570885439544,0.1652403024729931,0.15133627691412177,0.118281555143679,0.10128747474196854,0.06752299403033112,0.03103871439152548,0.011709301700118576,36029134.0,171.4501845,1.1
34,Netherlands,1.0,137.0,NLD,Europe & Central Asia,4062739.4507032763,257198.03631551558,511.45791035915704,0.1041678563817711,0.11662051732759113,0.1240676696023032,0.12032424553491217,0.13247541526280285,0.1468905257821129,0.12304660386828031,0.08538434413850002,0.04702282210172633,17231016.0,4742.0302736,4.7
35,Norway,3.0,25.0,NOR,Europe & Central Asia,1133373.5992555714,68127.93278036527,14.554919537497499,0.11596937640727888,0.1203036918643051,0.13517836854062992,0.13423111908284274,0.138356000958916,0.12933812590627536,0.10859065312793663,0.07589793942194827,0.042134724689867065,5314334.0,7477.89760673,3.9
36,Panama,1.0,8.0,PAN,Latin America & Caribbean ,599962.8376875418,28350.782154565015,56.1860774818402,0.1838183538479071,0.17114354583386404,0.1582592507112985,0.1444017383359972,0.12855349989513673,0.09751948110402339,0.06226507517115695,0.03483806526804294,0.019200989832573116,4176868.0,1040.67319231,2.3
37,Philippines,1.0,1.0,PHL,East Asia & Pacific,21108726.076053184,1646388.944782203,357.688305329175,0.20905565506931334,0.19776006845446384,0.1786236384680182,0.13932271449027828,0.11119785747879644,0.08332919838667696,0.050620523287344475,0.022209979904721826,0.007880364460386648,106651920.0,129.4326091,1.0
