Province/State,Country/Region,Lat,Long,4/2/20
,Belize,13.1939,-59.5432,3
Recovered,Canada,0,0,0
,Laos,19.85627,102.495496,10
,Libya,26.3351,17.228331,11
,West Bank and Gaza,31.9522,35.2332,161
,Guinea-Bissau,11.8037,-15.1804,9
,Mali,17.570692,-3.996166,36
,Saint Kitts and Nevis,17.357822,-62.782998,9
Northwest Territories,Canada,64.8255,-124.8457,2
Yukon,Canada,64.2823,-135,6
,Kosovo,42.602636,20.902977,125
,Burma,21.9162,95.956,20
Anguilla,United Kingdom,18.2206,-63.0686,3
British Virgin Islands,United Kingdom,18.4207,-64.64,3
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,5
,MS Zaandam,0,0,9
,Botswana,-22.3285,24.6849,4
,Burundi,-3.3731,29.9189,3
,Sierra Leone,8.460555,-11.779889,2
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,2
,Malawi,-13.254308,34.301525,3
