Country_Code,Pop Density (per sqkm),Ages 0-9,Ages 10-19,Ages 20-29,Ages 30-39,Ages 40-49,Ages 50-59,Ages 60-69,Ages 70-79,Ages 80+,Population Total
LVA,30.98330653,0.107999371,0.093561044,0.116740435,0.136135837,0.134521024,0.14299996,0.122476628,0.08796967,0.057596031,1926539
MAR,80.72851893,0.187197672,0.166385709,0.165240302,0.151336277,0.118281555,0.101287475,0.067522994,0.031038714,0.011709302,36029134
MDA,123.5198035,0.107029164,0.103659905,0.160090403,0.182538966,0.131696638,0.135282485,0.112913451,0.043777518,0.023011469,3545884
MDG,45.13985562,0.284320172,0.232650308,0.174257744,0.120791735,0.084832678,0.05452273,0.031740436,0.01264151,0.004242687,26262368
MDV,1718.986667,0.143573505,0.117017419,0.26764346,0.227275107,0.116893316,0.069656642,0.032681728,0.017355018,0.007903805,515701
MEX,64.91462641,0.176835841,0.177137907,0.170179823,0.145929764,0.127676917,0.095432137,0.060472476,0.030762334,0.015572802,126190782
MKD,82.59151467,0.109931218,0.114954845,0.142967426,0.156469385,0.142291944,0.134808352,0.113065224,0.060535095,0.024976512,2082957
MLI,15.63501586,0.340475952,0.243294118,0.156490426,0.10776346,0.072084981,0.040664407,0.024906578,0.011636681,0.002683396,19077691
MLT,1511.03125,0.097148057,0.095121295,0.132920398,0.147763324,0.129605195,0.126600211,0.132663951,0.092428598,0.045748971,483530
MMR,82.23861548,0.170544065,0.187290795,0.168444486,0.149535655,0.131483728,0.098581311,0.061876416,0.024377623,0.007865921,53708395
MNE,46.27100372,0.119327704,0.126309362,0.135857121,0.142401723,0.130723313,0.131325872,0.11884887,0.060914766,0.034291269,622345
MNG,2.040608667,0.224997114,0.14699197,0.169913135,0.168886075,0.12824087,0.09340789,0.043256386,0.017997839,0.006308722,3170214
MOZ,37.50853531,0.315697158,0.243036268,0.166811805,0.11394959,0.071802264,0.044460761,0.027280037,0.013444517,0.0035176,29495964
MWI,192.4407616,0.305303579,0.246224794,0.17556527,0.116148069,0.073101801,0.043026206,0.024924552,0.012603871,0.003101859,18143315
NCL,15.53938731,0.150746321,0.15597409,0.14899317,0.146715483,0.14521932,0.118703795,0.076036753,0.043321833,0.014289235,284060
NER,17.71765059,0.36565859,0.241713766,0.150779893,0.092681905,0.063690792,0.044263752,0.026825534,0.012046413,0.002339354,22442946
NGA,215.064989,0.314002738,0.22942204,0.160240613,0.118981846,0.081048165,0.051368447,0.030027808,0.012701275,0.002207069,195874738
NIC,53.72704836,0.204592491,0.190466925,0.181231306,0.158019374,0.109565199,0.074728819,0.048408393,0.021929435,0.011058059,6465511
NLD,511.4579104,0.104167856,0.116620517,0.12406767,0.120324246,0.132475415,0.146890526,0.123046604,0.085384344,0.047022822,17231016
NOR,14.55491954,0.115969376,0.120303692,0.135178369,0.134231119,0.138356001,0.129338126,0.108590653,0.075897939,0.042134725,5314334
NPL,195.9391071,0.196114544,0.224243197,0.191992551,0.124515632,0.102098518,0.075982583,0.049984743,0.027539823,0.00752841,28087871
NZL,18.55417569,0.130824329,0.130167897,0.142062488,0.124557415,0.127745012,0.131811537,0.105896472,0.069530885,0.037403966,4885498
OMN,15.6041454,0.165257163,0.103715328,0.236901952,0.267427812,0.126264966,0.059911017,0.025893269,0.010569256,0.004059237,4829479
PAK,275.2893187,0.244993176,0.209461739,0.18270885,0.136046797,0.094085434,0.067186259,0.038375147,0.020593,0.006549597,212215029
PAN,56.18607748,0.183818354,0.171143546,0.158259251,0.144401738,0.1285535,0.097519481,0.062265075,0.034838065,0.01920099,4176868
PER,24.99160625,0.172725725,0.165776113,0.169510928,0.153066912,0.126400935,0.095571186,0.064607393,0.035516977,0.016823831,31989265
PHL,357.6883053,0.209055655,0.197760068,0.178623638,0.139322714,0.111197857,0.083329198,0.050620523,0.02220998,0.007880364,106651920
PNG,19.00436338,0.245383075,0.216800485,0.17157641,0.137125576,0.102629427,0.068477676,0.039830483,0.014699425,0.003477443,8606323
POL,124.0358862,0.100832791,0.096628655,0.126488248,0.162805961,0.138757069,0.126356753,0.134462671,0.068559098,0.045108755,37978548
PRI,360.2201804,0.097763676,0.134191654,0.117794322,0.125934775,0.138658105,0.137265997,0.115937448,0.08391583,0.048538193,3195154
PRT,112.2394535,0.085188122,0.101592509,0.105267755,0.126319302,0.154973243,0.142919181,0.124205073,0.09535992,0.064174895,10281762
PRY,17.50835892,0.197974459,0.192832619,0.188144626,0.151479521,0.098190659,0.076593547,0.054556101,0.028126087,0.012102381,6956069
PSE,758.9845515,0.274211336,0.220345237,0.191042897,0.125635329,0.085799598,0.055508439,0.028555145,0.014690018,0.004211999,4569089
PYF,75.86857923,0.146348403,0.15941053,0.148473204,0.153356646,0.144709785,0.121427002,0.075455662,0.036517775,0.014300994,277673
QAT,239.5931955,0.095728156,0.08232438,0.258486691,0.287956303,0.165650674,0.080114204,0.023994501,0.004394468,0.001350623,2781679
